county,city,state,zipCode,georeference,streetName,streetNumber
Westchester,YONKERS,NY,10701,POINT (-73.89166 40.93072),WILLOW ST,135
Tompkins,TRUMANSBURG,NY,14886,POINT (-76.63998 42.53291),RT 96 BOX 706,2085
Saratoga,CLIFTON PARK,NY,12065,POINT (-73.77254 42.89219),RT 9,1857
Orange,NEWBURGH,NY,12550,POINT (-74.03327 41.52557),N PLANK RD,67
Schenectady,ROTTERDAM JUNCTION,NY,12150,POINT (-74.03925 42.87043),MAIN ST,1225
Queens,JAMAICA,NY,11435,POINT (-73.81462 40.70253),JAMAICA AVE,138-19
Cayuga,AUBURN,NY,13021,POINT (-76.54224 42.95676),PLAZA DR,11
New York,NEW YORK,NY,10022,POINT (-73.96617 40.75811),SECOND AVE,1045
Kings,BROOKLYN,NY,11221,POINT (-73.91788 40.69395),CENTRAL AVENUE,365
Warren,QUEENSBURY,NY,12804,POINT (-73.63522 43.45605),STATE RT 9L,2660
Bronx,BRONX,NY,10454,POINT (-73.91834 40.80718),EAST 138TH STREET,530
Kings,BROOKLYN,NY,11223,POINT (-73.97434 40.59687),AVENUE U,265
Kings,BROOKLYN,NY,11220,POINT (-74.01009 40.64531),5TH AVE,4917
Kings,BROOKLYN,NY,11236,POINT (-73.90871 40.63847),FLATLANDS AVE,8602
Queens,GLEN OAKS,NY,11004,POINT (-73.71719 40.74431),UNION TPKE,253-01
New York,NEW YORK,NY,10025,POINT (-73.96592 40.80508),BROADWAY,2864
Kings,BROOKLYN,NY,11232,POINT (-74.0066 40.65212),4TH AVE,3921
Niagara,SANBORN,NY,14132,POINT (-78.83774 43.12851),LOCKPORT RD,3821
Chenango,SOUTH NEW BERLIN,NY,13843,POINT (-75.38502 42.5295),ST HWY  8,3309
Chemung,ELMIRA,NY,14901,POINT (-76.81882 42.08972),WALNUT ST,416-420
Niagara,LOCKPORT,NY,14094,POINT (-78.69719 43.16914),PARK AVE,1
Oswego,RICHLAND,NY,13144,POINT (-76.05017 43.56902),MAIN ST,282
Bronx,BRONX,NY,10451,POINT (-73.91544 40.82631),TELLER AVE,920
Kings,BROOKLYN,NY,11237,POINT (-73.9187 40.70146),IRVING AVENUE,201
Nassau,MANHASSET,NY,11030,POINT (-73.70017 40.79885),PLANDOME RD,465
Dutchess,HYDE PARK,NY,12538,POINT (-73.90909 41.77032),VIOLET AVE,848
Kings,BROOKLYN,NY,11216,POINT (-73.94034 40.67989),FULTON ST,1521
Chautauqua,STOW,NY,14785,POINT (-79.40679 42.15508),OLD BRIDGE RD.,3503
Bronx,BRONX,NY,10454,POINT (-73.91735 40.81027),E 142ND STREET,510
Bronx,BRONX,NY,10458,POINT (-73.89196 40.8547),EAST 183RD STREET,526
Washington,HUDSON FALLS,NY,12839,POINT (-73.57242 43.31992),BURGOYNE AVE,3765
Schenectady,SCHENECTADY,NY,12305,POINT (-73.94922 42.81504),WASHINGTON AVENUE,78
Kings,BROOKLYN,NY,11217,POINT (-73.98754 40.68296),BOND STREET,209
Onondaga,SYRACUSE,NY,13208,POINT (-76.14775 43.0594),BUTTERNUT ST,500
Westchester,YONKERS,NY,10703,POINT (-73.88697 40.94704),LAKE AVE,123-129
Ulster,NEW PALTZ,NY,12561,POINT (-74.08057 41.74697),MAIN STREET,160
Westchester,DOBBS FERRY,NY,10522,POINT (-73.86917 41.01586),BROADWAY,430
Albany,ALBANY,NY,12202,POINT (-73.76197 42.64298),MORTON AVE,80
Suffolk,ISLIP,NY,11751,POINT (-73.20778 40.737),ISLIP AVE,184
Suffolk,CORAM,NY,11727,POINT (-73.0104 40.86875),MIDDLE COUNTRY RD,516
Kings,BROOKLYN,NY,11238,POINT (-73.95842 40.6817),FULTON ST,1083
Monroe,WEBSTER,NY,14580,POINT (-77.50351 43.19062),EMPIRE BLVD,1900
Suffolk,EASTPORT,NY,11941,POINT (-72.73461 40.82754),EASTPORT MANOR RD,23
Queens,MIDDLE VILLAGE,NY,11379,POINT (-73.89765 40.71226),ADMIRAL AVE,64-06
Suffolk,CENTER MORICHES,NY,11934,POINT (-72.80847 40.80277),MONTAUK HWY,812
Westchester,WHITE PLAINS,NY,10603,POINT (-73.76971 41.05388),N BROADWAY,601
New York,NEW YORK,NY,10012,POINT (-74.0023 40.72787),MACDOUGAL ST,51
Queens,COLLEGE POINT,NY,11356,POINT (-73.84197 40.78496),15TH AVENUE,126-01
Queens,ASTORIA,NY,11106,POINT (-73.92247 40.76061),BROADWAY,34-14
Bronx,BRONX,NY,10453,POINT (-73.90597 40.85329),E BURNSIDE AVE,65
Erie,LACKAWANNA,NY,14218,POINT (-78.84336 42.82257),WILKESBARRE AVE,162
Queens,WOODSIDE,NY,11377,POINT (-73.91836 40.73918),48TH AVE,47-02
Erie,WILLIAMSVILLE,NY,14221,POINT (-78.75597 42.99125),MAPLE RD,840
Kings,BROOKLYN,NY,11217,POINT (-73.98166 40.68006),BUTLER STREET,336
Herkimer,HERKIMER,NY,13350,POINT (-74.99237 43.02154),S CAROLINE ST,221
Westchester,IRVINGTON,NY,10533,POINT (-73.86495 41.03901),N BROADWAY,1
Erie,BUFFALO,NY,14206,POINT (-78.79488 42.87668),S ROSSLER AVE,93
Queens,ARVERNE,NY,11692,POINT (-73.79541 40.59289),BEACH CHANNEL DRIVE,66-14
Kings,BROOKLYN,NY,11238,POINT (-73.9627 40.68706),GREENE AVE,216
Kings,BROOKLYN,NY,11209,POINT (-74.03124 40.61569),4TH AVENUE,9512
Bronx,BRONX,NY,10460,POINT (-73.88588 40.84164),SOUTHERN BLVD STORE 1,1911-1915
Queens,ASTORIA,NY,11106,POINT (-73.92687 40.76267),BROADWAY,2901
Bronx,BRONX,NY,10470,POINT (-73.85337 40.90273),MATILDA AVENUE,4577
Kings,BROOKLYN,NY,11209,POINT (-74.02401 40.62615),5TH AVE,7911
Erie,BUFFALO,NY,14207,POINT (-78.89662 42.9574),ONTARIO ST,514
Westchester,NEW ROCHELLE,NY,10801,POINT (-73.77187 40.92326),PETERSVILLE RD,200B
New York,NEW YORK,NY,10036,POINT (-73.99288 40.7581),9TH AVE,572
Queens,RIDGEWOOD,NY,11385,POINT (-73.90664 40.70219),SENECA AVE,760
Broome,VESTAL,NY,13850,POINT (-76.00957 42.09481),VESTAL PKWY E,2441
New York,NEW YORK,NY,10002,POINT (-73.99118 40.71791),ALLEN ST UNIT B,79
Monroe,ROCHESTER,NY,14609,POINT (-77.56102 43.18833),CULVER ROAD,2280
Kings,BROOKLYN,NY,11221,POINT (-73.92386 40.68866),RALPH AVE,48
New York,NEW YORK,NY,10065,POINT (-73.95999 40.76656),2ND AVE,1299
Kings,BROOKLYN,NY,11204,POINT (-73.98025 40.62906),18TH AVE,4718
Bronx,BRONX,NY,10453,POINT (-73.91586 40.8503),UNIVERSITY AVE,1769
Tompkins,ITHACA,NY,14850,POINT (-76.54632 42.40292),ELMIRA ROAD,827
Broome,ENDICOTT,NY,13760,POINT (-76.06705 42.09518),W MAIN ST,136
